timestamp,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
1731169174.3011642,-0.52,-0.62,-0.89,63.96,-1.71,-41.75
1731169274.3011642,-0.07,-0.68,-0.99,0.37,21.42,-17.33
1731169373.3011642,0.26,-0.16,-0.93,-33.26,-10.19,43.27
1731169473.3011642,-0.53,-0.5,-0.95,24.66,4.21,-28.5
1731169573.3011642,-0.02,-0.6,-0.96,-14.89,16.78,-18.8
1731169672.3011642,0.2,-0.33,-0.84,-46.51,-26.61,60.3
1731169771.3011642,-0.46,-0.39,-0.96,30.33,-4.27,5.62
1731169870.3011642,-0.16,-0.57,-0.98,11.47,39.98,-51.51
1731169970.3011642,0.31,-0.45,-0.88,-44.86,-6.96,48.22
1731170070.3011642,-0.12,-0.38,-0.92,-4.21,-17.52,30.46
1731170169.3011642,-0.22,-0.7,-0.95,9.22,27.53,-41.56
1731170268.3011642,0.08,-0.49,-1.02,-37.54,17.94,25.51
1731170368.3011642,-0.05,-0.45,-0.78,-18.13,-19.1,37.66
1731170467.3011642,-0.48,-0.56,-0.87,17.03,13.67,-39.86
1731170567.3011642,-0.02,-0.72,-0.76,8.24,32.04,-10.74
1731170667.3011642,0.1,-0.46,-0.86,-14.53,-25.57,42.91
1731170767.3011642,-0.31,-0.56,-0.91,68.91,-6.23,-4.52
1731170867.3011642,-0.17,-0.54,-0.86,5.74,23.56,-43.27
1731170967.3011642,0.13,-0.44,-0.96,-21.0,-4.33,27.22
1731171067.3011642,-0.11,-0.23,-0.92,21.67,-16.24,33.39
1731171167.3011642,-0.43,-0.48,-0.88,45.29,35.03,-67.08
1731171267.3011642,0.17,-0.42,-1.12,-55.36,7.69,14.47
1731171366.3011642,-0.18,-0.1,-0.98,4.88,-18.19,17.15
1731171465.3011642,-0.61,-0.38,-0.88,-18.49,24.48,-53.77
1731171565.3011642,-0.02,-0.56,-1.11,-34.3,4.58,0.24
1731171665.3011642,-0.26,-0.37,-0.9,-17.09,-23.99,53.71
1731171765.3011642,-0.51,-0.43,-0.84,9.52,27.47,-46.94
1731171864.3011642,-0.13,-0.71,-0.96,-23.25,10.68,-5.49
1731171963.3011642,-0.07,-0.3,-0.85,-33.94,-33.75,76.6
1731172063.3011642,-0.64,-0.47,-0.88,16.36,7.81,-43.15
1731172163.3011642,-0.05,-0.77,-0.89,-17.88,26.37,-1.4
1731172263.3011642,0.14,-0.44,-0.86,-21.36,-35.89,61.1
1731172363.3011642,-0.55,-0.56,-0.97,81.12,-13.0,-23.68
