timestamp,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
1731161988.341958,0.06,0.79,0.56,-2.26,0.92,2.26
1731162088.341958,0.06,0.79,0.56,-1.89,1.65,2.5
1731162188.341958,0.06,0.8,0.56,-4.33,0.61,2.87
1731162288.341958,0.06,0.8,0.55,-1.83,1.89,2.81
1731162388.341958,0.06,0.8,0.55,-1.16,1.77,2.93
1731162488.341958,0.06,0.8,0.55,-0.55,1.71,2.2
1731162588.341958,0.06,0.8,0.55,-0.98,2.08,2.26
1731162688.341958,0.05,0.8,0.55,-1.1,2.01,2.08
1731162788.341958,0.06,0.8,0.56,0.55,2.2,1.4
1731162888.341958,0.05,0.8,0.55,-3.17,2.26,2.93
1731162988.341958,0.06,0.8,0.55,-0.92,2.01,1.59
1731163087.341958,0.06,0.79,0.56,0.85,2.08,1.4
1731163187.341958,0.06,0.79,0.55,0.61,1.53,1.28
1731163287.341958,0.06,0.79,0.56,0.31,1.77,1.46
1731163386.341958,0.06,0.79,0.56,-1.46,1.89,2.75
1731163486.341958,0.06,0.79,0.55,-1.77,1.77,2.62
1731163585.341958,0.06,0.8,0.56,-0.85,1.83,2.2
1731163684.341958,0.06,0.79,0.56,-0.61,2.01,2.01
1731163784.341958,0.06,0.79,0.55,-0.92,2.14,2.32
1731163884.341958,0.06,0.8,0.55,-0.49,2.08,1.83
1731163983.341958,0.06,0.79,0.56,0.24,2.14,1.22
1731164083.341958,0.06,0.81,0.57,-0.79,1.4,4.27
1731164183.341958,0.06,0.79,0.56,-2.38,1.89,3.17
1731164282.341958,0.06,0.81,0.55,-3.91,2.08,3.23
1731164382.341958,0.05,0.81,0.55,-4.03,1.95,3.48
1731164482.341958,0.05,0.81,0.53,0.98,2.14,1.22
1731164581.341958,0.06,0.8,0.55,-0.37,1.4,2.38
1731164680.341958,0.06,0.81,0.54,-0.79,1.1,2.56
1731164780.341958,0.05,0.79,0.56,-3.36,1.83,3.3
1731164879.341958,0.05,0.8,0.55,3.91,1.71,1.65
1731164979.341958,0.04,0.79,0.55,-1.22,2.01,1.95
1731165078.341958,0.04,0.74,0.52,0.55,0.06,3.48
1731165177.341958,0.04,0.79,0.54,-5.25,2.69,3.42
1731165277.341958,0.04,0.81,0.54,-3.72,2.2,2.62
1731165377.341958,0.05,0.79,0.55,-1.95,2.26,2.38
1731165476.341958,0.05,0.81,0.54,-3.36,2.99,3.72
1731165576.341958,0.04,0.82,0.53,-3.05,1.46,2.99
1731165675.341958,0.05,0.8,0.54,2.2,0.37,1.4
1731165775.341958,0.04,0.8,0.54,0.43,1.83,1.77
1731165874.341958,0.05,0.8,0.55,-1.04,2.01,1.83
1731165973.341958,0.05,0.8,0.55,-0.37,1.89,2.01
1731166072.341958,0.04,0.8,0.54,-1.89,1.89,2.14
1731166172.341958,0.05,0.8,0.55,-3.05,2.01,2.38
1731166272.341958,0.05,0.81,0.53,-1.77,2.14,2.62
1731166371.341958,0.05,0.8,0.54,-2.75,1.59,2.14
1731166471.341958,0.05,0.81,0.53,-4.03,1.65,2.32
1731166571.341958,0.05,0.83,0.52,-0.79,1.89,1.71
1731166670.341958,0.05,0.81,0.53,-0.79,1.71,2.08
1731166769.341958,0.05,0.82,0.53,-0.31,1.77,1.95
1731166869.341958,0.05,0.81,0.53,-0.24,2.14,1.95
1731166968.341958,0.05,0.82,0.53,-1.04,1.83,2.32
1731167067.341958,0.05,0.81,0.53,0.37,1.77,1.83
1731167166.341958,0.05,0.81,0.53,-1.16,1.83,2.26
1731167266.341958,0.05,0.81,0.53,-0.55,1.83,2.01
1731167366.341958,0.05,0.81,0.54,-0.85,1.89,2.26
1731167466.341958,0.05,0.81,0.53,-0.85,1.71,2.08
1731167566.341958,0.05,0.81,0.53,-1.22,1.83,2.26
1731167666.341958,0.05,0.81,0.53,-0.79,2.08,2.08
1731167766.341958,0.05,0.81,0.54,-1.22,2.08,2.38
1731167865.341958,0.05,0.81,0.53,-0.55,2.01,2.08
1731167965.341958,0.05,0.81,0.54,-1.34,1.95,2.5
1731168065.341958,0.05,0.81,0.54,-1.22,1.89,2.2
1731168164.341958,0.05,0.81,0.54,-1.1,1.89,2.32
1731168264.341958,0.05,0.81,0.54,-0.79,1.95,2.26
1731168363.341958,0.05,0.81,0.54,-1.1,1.89,2.32
1731168463.341958,0.05,0.81,0.54,-0.79,1.95,2.32
1731168562.341958,0.05,0.81,0.54,-0.37,2.01,1.95
1731168662.341958,0.05,0.81,0.54,-1.04,2.14,2.56
1731168762.341958,0.05,0.81,0.53,-1.04,1.95,2.14
1731168861.341958,0.05,0.81,0.53,-1.77,1.89,2.32
1731168961.341958,0.05,0.81,0.53,-1.71,2.14,2.69
1731169060.341958,0.05,0.81,0.53,-0.67,2.2,2.56
1731169159.341958,0.05,0.81,0.53,-0.98,2.01,2.08
1731169259.341958,0.05,0.81,0.53,-1.59,1.89,2.26
1731169358.341958,0.05,0.81,0.53,-0.73,1.89,2.26
1731169458.341958,0.05,0.81,0.53,-0.79,2.08,2.32
1731169558.341958,0.05,0.81,0.53,-0.37,1.89,1.95
1731169657.341958,0.05,0.81,0.53,-0.61,1.77,2.08
1731169757.341958,0.05,0.81,0.54,-0.43,1.89,2.08
1731169856.341958,0.05,0.81,0.53,-0.85,1.71,2.2
1731169955.341958,0.05,0.81,0.54,-0.37,1.89,1.95
1731170055.341958,0.05,0.81,0.54,-1.1,1.89,2.32
1731170154.341958,0.05,0.81,0.54,-0.49,2.14,2.08
1731170253.341958,0.05,0.81,0.54,-1.1,2.08,2.5
1731170353.341958,0.05,0.81,0.54,-0.49,1.83,2.01
1731170452.341958,0.05,0.81,0.53,-1.28,1.77,2.26
1731170552.341958,0.05,0.81,0.54,-0.73,1.89,2.2
1731170652.341958,0.05,0.81,0.54,-0.49,1.77,2.14
1731170751.341958,0.05,0.81,0.54,-0.79,1.83,1.95
1731170851.341958,0.05,0.81,0.54,-0.85,1.89,2.26
1731170950.341958,0.05,0.81,0.54,-0.92,2.01,2.01
1731171049.341958,0.05,0.81,0.54,-0.73,1.89,2.2
1731171149.341958,0.05,0.81,0.54,-0.37,1.89,2.08
1731171249.341958,0.05,0.81,0.54,-0.85,1.89,2.32
1731171348.341958,0.05,0.81,0.54,-0.55,1.89,2.2
